run_id,fold_id,signal_date,trade_date,strategy_id,strategy_type,selected_factor,portfolio_leg,gross_return,turnover,transaction_cost,net_return,benchmark_return,excess_return,missing_return_count,suspended_return_count,invalid_missing_return_count,invalid_missing_weight
wf_cd46c725e308,F001,20250228,20250304,Benchmark_000985_CSI,benchmark,,benchmark,0.006027513088489478,0.0,0.0,0.006027513088489478,0.006027513088489478,0.0,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Champion_SingleFactor,champion_single,PE_TTM,d1,0.017663616139221308,1.0,0.001,0.016663616139221307,0.006027513088489478,0.01063610305073183,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Champion_SingleFactor,champion_single,PE_TTM,d10,0.02422012243019059,1.0,0.001,0.02322012243019059,0.006027513088489478,0.017192609341701113,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Champion_SingleFactor,champion_single,PE_TTM,long_short,0.0065565062909692835,2.0,0.002,0.0045565062909692835,0.006027513088489478,0.0045565062909692835,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Champion_SingleFactor,champion_single,PE_TTM,top20,0.020781716759519838,1.0,0.001,0.019781716759519837,0.006027513088489478,0.01375420367103036,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Composite_Equal,multifactor,PE_TTM,d1,0.01062147888392587,1.0,0.001,0.00962147888392587,0.006027513088489478,0.0035939657954363914,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Composite_Equal,multifactor,PE_TTM,d10,0.015961644923275637,1.0,0.001,0.014961644923275636,0.006027513088489478,0.008934131834786158,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Composite_Equal,multifactor,PE_TTM,long_short,0.005340166039349767,2.0,0.002,0.003340166039349767,0.006027513088489478,0.003340166039349767,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Composite_Equal,multifactor,PE_TTM,top20,0.01539596978422252,1.0,0.001,0.014395969784222518,0.006027513088489478,0.00836845669573304,0,0,0,0.0
wf_cd46c725e308,F001,20250228,20250304,Composite_RollingRankIC,multifactor,PE_TTM,d1,0.01276815335054409,1.0,0.001,0.01176815335054409,0.006027513088489478,0.005740640262054612,0,0,0,0.0
